Type	EET-gene	Phylum	Normalised relative abundance (%)
Bulk	epili	Proteobacteria	0.648409705
Bulk	non	Proteobacteria	0.410840254
Bulk	non	Proteobacteria	0.099282179
GAC	non	Proteobacteria	0.193139326
GAC	epili	Proteobacteria	0.734048081
GAC	non	Proteobacteria	0.099023755
GAC	non	Proteobacteria	2.277095351
GAC	non	Proteobacteria	0.947480404
GAC	non	Proteobacteria	1.314635143
GAC	epili	Proteobacteria	0.072031573
GAC	non	Proteobacteria	0.835932671
Bulk	MHC	Spirochaetota	0.43969712
Bulk	non	Spirochaetota	0.126080859
Bulk	non	Spirochaetota	0.159566208
Bulk	MHC	Spirochaetota	0.14371239
Bulk	non	Spirochaetota	0.196071093
Bulk	epili	Spirochaetota	0.300338263
GAC	epili	Spirochaetota	0.840128658
GAC	epili	Spirochaetota	0.644466806
GAC	MHC	Spirochaetota	0.492072594
GAC	non	Spirochaetota	0.166572262
GAC	MHC	Spirochaetota	0.413966553
GAC	non	Spirochaetota	0.077355864
GAC	MHC	Spirochaetota	0.121294537
GAC	MHC	Spirochaetota	0.77586078
Bulk	epili	Synergistota	0.318326145
Bulk	non	Synergistota	0.266442719
GAC	non	Synergistota	0.983189546
GAC	non	Synergistota	1.024546661
GAC	non	Synergistota	0.661066797
GAC	non	Synergistota	0.570312972
GAC	non	Synergistota	0.403273874
GAC	non	Synergistota	0.266273785
GAC	non	Synergistota	0.099035787
GAC	epili	Synergistota	1.130247319
GAC	epili	Synergistota	0.653437256
GAC	epili	Synergistota	0.721893761
GAC	non	Synergistota	0.06723796
GAC	epili	Synergistota	0.3198482
GAC	non	Synergistota	0.267215701
Bulk	non	Thermoplasmatota	0.107181131
GAC	non	Thermoplasmatota	0.792560944
GAC	non	Thermoplasmatota	0.816451818
GAC	non	Thermoplasmatota	1.337930881
GAC	non	Thermoplasmatota	1.657546695
GAC	non	Thermoplasmatota	0.270420579
GAC	non	Thermoplasmatota	5.187558563
GAC	non	Thermoplasmatota	0.606536275
GAC	non	Thermoplasmatota	0.297460973
GAC	non	Thermoplasmatota	0.096327496
GAC	non	Thermoplasmatota	1.2913094
Bulk	non	Other	0.09470524
Bulk	non	Other	0.095781299
Bulk	epili	Other	0.141553135
Bulk	Both	Other	0.155539262
GAC	Both	Other	0.249557952
Bulk	Both	Other	0.063022139
GAC	Both	Other	0.11215437
