Type	EET-gene	Phylum	Normalised relative abundance (%)
Bulk	MHC	Bacteroidota	0.734631597
Bulk	MHC	Bacteroidota	0.07539146
Bulk	MHC	Bacteroidota	0.150354825
Bulk	MHC	Bacteroidota	3.22455592
Bulk	MHC	Bacteroidota	0.250628542
Bulk	MHC	Bacteroidota	6.24205631
GAC	MHC	Bacteroidota	0.806420497
GAC	MHC	Bacteroidota	0.411310243
GAC	MHC	Bacteroidota	0.850227825
GAC	non	Bacteroidota	2.916731418
GAC	MHC	Bacteroidota	2.692319457
GAC	non	Bacteroidota	1.206941472
GAC	Both	Bacteroidota	0.426752789
GAC	MHC	Bacteroidota	0.697462582
GAC	MHC	Bacteroidota	2.884052979
GAC	MHC	Bacteroidota	4.173088748
GAC	MHC	Bacteroidota	3.487641013
GAC	non	Bacteroidota	1.820822963
GAC	non	Bacteroidota	0.87797969
GAC	MHC	Bacteroidota	3.26967856
GAC	MHC	Bacteroidota	2.224642632
GAC	MHC	Bacteroidota	2.343077633
GAC	MHC	Bacteroidota	0.518662199
GAC	MHC	Bacteroidota	0.449622922
GAC	MHC	Bacteroidota	0.728464631
GAC	MHC	Bacteroidota	1.596575947
GAC	MHC	Bacteroidota	0.808146128
GAC	MHC	Bacteroidota	2.17198795
GAC	MHC	Bacteroidota	2.868087447
GAC	epili	Bacteroidota	1.108906625
GAC	MHC	Bacteroidota	4.302820895
GAC	MHC	Bacteroidota	0.744782204
GAC	MHC	Bacteroidota	0.175689928
GAC	MHC	Bacteroidota	0.841652761
GAC	MHC	Bacteroidota	2.362644145
GAC	MHC	Bacteroidota	0.327589349
GAC	MHC	Bacteroidota	0.187599056
GAC	MHC	Bacteroidota	0.159194304
GAC	MHC	Bacteroidota	6.311281344
GAC	MHC	Bacteroidota	0.508056764
GAC	MHC	Bacteroidota	0.32969246
GAC	MHC	Bacteroidota	0.417762893
GAC	MHC	Bacteroidota	0.127176724
GAC	MHC	Bacteroidota	0.099496128
GAC	MHC	Bacteroidota	0.118028113
GAC	MHC	Bacteroidota	3.373098066
GAC	MHC	Bacteroidota	0.064199294
GAC	non	Bacteroidota	1.109842393
GAC	non	Bacteroidota	0.048167504
GAC	MHC	Bacteroidota	0.124186198
GAC	MHC	Bacteroidota	1.293033565
GAC	MHC	Bacteroidota	0.552071367
GAC	MHC	Bacteroidota	0.085974185
GAC	MHC	Bacteroidota	0.30398209
GAC	MHC	Bacteroidota	1.422169479
GAC	non	Bacteroidota	0.328501905
GAC	non	Bacteroidota	0.252755665
Bulk	non	Other	0.141127656
Bulk	non	Other	0.492151247
Bulk	non	Other	0.112509772
Bulk	non	Other	1.193175863
GAC	non	Other	0.459088123
Bulk	non	Campylobacterota	2.569321678
Bulk	non	Campylobacterota	0.883413959
Bulk	non	Campylobacterota	0.838560212
Bulk	non	Campylobacterota	0.37923281
Bulk	non	Campylobacterota	0.212206581
Bulk	non	Campylobacterota	0.123611979
GAC	non	Campylobacterota	0.558598622
GAC	non	Campylobacterota	1.204487401
GAC	MHC	Campylobacterota	1.533615144
Bulk	non	Chloroflexota	1.705838245
Bulk	non	Chloroflexota	0.702984005
Bulk	MHC	Chloroflexota	0.639358431
Bulk	non	Chloroflexota	2.679151162
Bulk	non	Chloroflexota	0.109249395
Bulk	non	Chloroflexota	2.688289679
Bulk	non	Chloroflexota	0.266691881
Bulk	non	Chloroflexota	0.2786109
Bulk	MHC	Chloroflexota	0.151950473
Bulk	non	Chloroflexota	0.219979225
Bulk	non	Chloroflexota	0.102153203
Bulk	non	Chloroflexota	0.101933039
Bulk	non	Chloroflexota	0.098762234
Bulk	non	Chloroflexota	0.100381016
Bulk	MHC	Chloroflexota	0.11356429
Bulk	non	Chloroflexota	1.323333638
Bulk	MHC	Chloroflexota	1.002195717
Bulk	non	Chloroflexota	0.111877315
Bulk	non	Chloroflexota	0.770210507
GAC	non	Chloroflexota	0.54380473
GAC	non	Chloroflexota	0.610181157
GAC	non	Chloroflexota	0.468758196
GAC	MHC	Chloroflexota	0.808441369
GAC	non	Chloroflexota	0.385543306
GAC	non	Chloroflexota	0.615998646
GAC	non	Chloroflexota	0.574062899
